categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
is_warm,cslb mcrae,0.3580572658,-,True,pos-is_warm-most,bed,bed,51707,True,True,8,4,13,0.2,0.41273588134024836,homonyms_only_different_pos,met non-met,conc,635,636,169,warm,bed
neighbors-200,wikipedia_sgns_model,0.5125952426,-,True,-,sporran,sporran,123,True,True,0,0,1,1.0,1.0,mon,,conc,,,,warm,sporran
neighbors-200,wikipedia_sgns_model,0.5336608941,-,True,-,fingerless,fingerless,101,True,False,0,0,1,1.0,1.0,,,-,,,,warm,fingerless
cool,conceptnet,0.2712222399,-,True,-,swords,sword,12309,True,True,0,0,1,1.0,1.0,poly,,conc,,,,warm,sword
is_cool,cslb,0.2948460718,-,True,-,surfboard,surfboard,846,True,True,0,0,2,None,,mon,,conc,,,,warm,surfboard
neighbors-200,wikipedia_sgns_model,0.4705513558,-,True,-,straps,strap,2934,True,True,2,5,8,0.2,0.4591108080659165,homonyms_only_different_pos,non-met,conc,,,,warm,strap
pos/neg,manually_included,0.3021790787714397,,,,fireplace,fireplace,5533,True,True,,,1,1.0,1.0,poly,,conc,592,529,,warm,fireplace
neighbors-200,wikipedia_sgns_model,0.5014573881,-,True,-,drawstring,drawstr,120,False,False,0,0,0,None,,,,-,,,,warm,drawstr
cool,conceptnet,0.0866851518,3,False,-,codes,code,30374,True,True,4,7,5,0.2,0.5976190476190476,homonyms_only_different_pos,met,abs,,,,warm,code
cold,conceptnet,0.0912140173,3,False,-,canada,canada,371010,True,True,0,0,1,1.0,1.0,,non-met,n,,638,,warm,canada
cold,conceptnet,0.103700433,3,False,-,alaska,alaska,44672,True,True,0,0,1,1.0,1.0,,non-met,n,,,,warm,alaska
cool,conceptnet,0.1077590211,2,True,-,forests,forest,60810,True,True,1,0,3,0.5,0.5,poly,non-met,abs,,,,warm,forest
cold,conceptnet,0.1126147456,2,True,-,people,people,1124171,True,True,3,7,6,0.2222222222222222,0.550976800976801,homonyms_only_different_pos,non-met,abs,540,628,281,warm,people
cold,conceptnet,0.1181489073,-,True,-,space,space,322609,True,True,4,9,10,0.125,0.3778448403448404,homonyms_only_different_pos,met non-met,abs-conc,381,576,319,warm,space
cool,conceptnet,0.1222971877,-,True,-,mit,mit,18926,True,True,0,0,1,1.0,1.0,,,n,,,,warm,mit
neg_met,manually_included,0.1309637277,-,True,-,thought,think,209762,True,True,4,14,14,0.2,0.33651811151811123,homonyms_only_different_pos,met non-met,abs,274,603,347,warm,think
neg_met,manually_included,0.1333148636,-,True,-,argument,argument,43743,True,True,3,7,7,0.23529411764705882,0.34703095813224083,poly,met non-met,abs,,,,warm,argument
cold cool,conceptnet,0.1358510209,-,True,-,river,river,810697,True,True,0,0,1,1.0,1.0,poly,non-met,conc,585,565,,warm,river
cool,conceptnet,0.1431292172,-,True,-,dragons,dragon,28861,True,True,2,0,4,0.07692307692307693,0.2604861025913658,poly,met,abs-conc-n,,,,warm,dragon
cold,conceptnet,0.1533681929,-,True,-,bob,bob,103826,True,True,8,8,12,0.1,0.24165591418912105,homonyms_also_same_pos,non-met,abs-conc,,,,warm,bob
cool,conceptnet,0.1566164028,-,True,-,mozilla,mozilla,2928,False,False,0,0,0,None,,,,-,,,,warm,mozilla
neg_met,manually_included,0.1771254495,-,True,-,idea,idea,159752,True,True,3,7,5,0.23529411764705882,0.45187800761330177,poly,non-met,abs,259,585,,warm,idea
cool,conceptnet,0.1840483103,-,True,-,telephones,telephone,4235,True,True,1,4,3,0.6666666666666666,0.6666666666666666,homonyms_only_different_pos,non-met,conc,,,,warm,telephone
cold,conceptnet,0.1976570204,-,True,-,winter,winter,174503,True,True,0,1,2,None,,homonyms_only_different_pos,non-met,abs,499,615,236,warm,winter
cold cool cold cool,conceptnet manually_included,0.1977586882,-,True,-,ice,ice,172988,True,True,4,3,11,0.18181818181818182,0.34117859189005834,homonyms_only_different_pos,non-met,conc,621,564,261,warm,ice
is_cold,mcrae,0.1993785622,-,True,neg-is_cold-most,basement,basement,26654,True,True,2,0,2,0.7058823529411765,0.7058823529411765,mon,,conc,585,522,,warm,basement
cold cold,conceptnet manually_included,0.1997073215,-,True,-,water,water,586090,True,True,6,12,10,0.18181818181818182,0.349777490025168,homonyms_only_different_pos,non-met,abs-conc,616,641,153,warm,water
