filename,listnumber,assignmentid,hitid,workerid,origin,timestamp,partid,questionid,quid,description,exampletrue,examplefalse,run,sublist,completionurl,id,uuid,timestamp_datetime,time_taken,started_datetime,completed_datetime,duration_in_seconds,answer,relation,property,concept,f_name_full
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c76bfebf-b45b-403f-ab88-608845bfe19b,PROLIFIC,05-Dec-2019 13:13:32,120,4947,d5f32b58-12a0-11ea-b098-acde48001122,Being round is typical of (a/an) coconut. ,Being bitter is typical of (a/an) coffee. ,Being white is typical of (a/an) rasperry. ,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25103,e3370e90-472d-465f-a32e-233d95dc0476,2019-12-05 13:13:32,537.507,2019-12-05 12:08:33.277000,2019-12-05 12:17:30.784000,4.0,true,typical_of_concept,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c6c5141b-7a37-414b-88da-48b50bb2546b,PROLIFIC,05-Dec-2019 13:19:44,120,4947,d5f32b58-12a0-11ea-b098-acde48001122,Being round is typical of (a/an) coconut. ,Being bitter is typical of (a/an) coffee. ,Being white is typical of (a/an) rasperry. ,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25281,24448baf-0588-48e4-a80e-dd99d2b2df54,2019-12-05 13:19:44,935.681,2019-12-05 12:07:36.722000,2019-12-05 12:23:12.403000,4.0,true,typical_of_concept,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c76bfebf-b45b-403f-ab88-608845bfe19b,PROLIFIC,05-Dec-2019 13:13:58,120,4955,d5f33134-12a0-11ea-b098-acde48001122,(A/An) coconut cannot be round.,(A/An) water cannot be dry.,(A/An) book cannot be light.,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25123,2e58d417-14d3-4229-a347-66e1f94885b1,2019-12-05 13:13:58,537.507,2019-12-05 12:08:33.277000,2019-12-05 12:17:30.784000,3.0,false,impossible,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c6c5141b-7a37-414b-88da-48b50bb2546b,PROLIFIC,05-Dec-2019 13:09:38,120,4955,d5f33134-12a0-11ea-b098-acde48001122,(A/An) coconut cannot be round.,(A/An) water cannot be dry.,(A/An) book cannot be light.,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,24759,02684b06-477c-4b6d-9f1b-46aacdbd8f5c,2019-12-05 13:09:38,935.681,2019-12-05 12:07:36.722000,2019-12-05 12:23:12.403000,5.0,false,impossible,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c76bfebf-b45b-403f-ab88-608845bfe19b,PROLIFIC,05-Dec-2019 13:13:11,120,4957,d5f32950-12a0-11ea-b098-acde48001122,(A/An) coconut is a typical example of things which are  round. ,(A/An) star is a typical example of things which are  shining. ,(A/An) dress is a typical example of things which are  white. ,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25085,dfdce3ef-2c7a-4ec3-abcd-752c422db077,2019-12-05 13:13:11,537.507,2019-12-05 12:08:33.277000,2019-12-05 12:17:30.784000,5.0,false,typical_of_property,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c6c5141b-7a37-414b-88da-48b50bb2546b,PROLIFIC,05-Dec-2019 13:19:51,120,4957,d5f32950-12a0-11ea-b098-acde48001122,(A/An) coconut is a typical example of things which are  round. ,(A/An) star is a typical example of things which are  shining. ,(A/An) dress is a typical example of things which are  white. ,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25284,cc2f15b5-cbcd-4166-bf05-386c184266b2,2019-12-05 13:19:51,935.681,2019-12-05 12:07:36.722000,2019-12-05 12:23:12.403000,4.0,true,typical_of_property,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c76bfebf-b45b-403f-ab88-608845bfe19b,PROLIFIC,05-Dec-2019 13:11:51,120,4960,d5f32cca-12a0-11ea-b098-acde48001122,A certain type of coconut is round and other types are not. ,A certain type of bear is white and other types are not. ,A certain type of fabric is soft and other types are not. ,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25005,1c3c72b7-66b1-4ea6-b249-ac0b6984def3,2019-12-05 13:11:51,537.507,2019-12-05 12:08:33.277000,2019-12-05 12:17:30.784000,11.0,false,variability_subcategories,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c6c5141b-7a37-414b-88da-48b50bb2546b,PROLIFIC,05-Dec-2019 13:14:46,120,4960,d5f32cca-12a0-11ea-b098-acde48001122,A certain type of coconut is round and other types are not. ,A certain type of bear is white and other types are not. ,A certain type of fabric is soft and other types are not. ,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25154,f3b5b4ca-8e7c-4f2e-b0fa-104db6dc155f,2019-12-05 13:14:46,935.681,2019-12-05 12:07:36.722000,2019-12-05 12:23:12.403000,3.0,false,variability_subcategories,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c76bfebf-b45b-403f-ab88-608845bfe19b,PROLIFIC,05-Dec-2019 13:14:28,120,4970,d5f32c16-12a0-11ea-b098-acde48001122,Being round applies to coconut and other such things.,Being alcoholic applies to merlot and other such things.,Being transparent applies to table and other such things.,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25142,9d4b3ae1-a0b1-468f-8373-cafcea939754,2019-12-05 13:14:28,537.507,2019-12-05 12:08:33.277000,2019-12-05 12:17:30.784000,2.0,false,implied_category,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
qu70-s_qu70-batch45.csv,1,NOT AVAILABLE,NOT AVAILABLE,c6c5141b-7a37-414b-88da-48b50bb2546b,PROLIFIC,05-Dec-2019 13:12:19,120,4970,d5f32c16-12a0-11ea-b098-acde48001122,Being round applies to coconut and other such things.,Being alcoholic applies to merlot and other such things.,Being transparent applies to table and other such things.,1,1,https://app.prolific.co/submissions/complete?cc=51C23265,25039,c24a4cd2-a5df-4f72-b2db-13dcf64243ad,2019-12-05 13:12:19,935.681,2019-12-05 12:07:36.722000,2019-12-05 12:23:12.403000,4.0,true,implied_category,round,coconut,../data/prolific_output/run1-group_experiment1/qu70-s_qu70-batch45_1.csv
